,,,severity,severity,severity,window_accuracy,window_accuracy,window_accuracy,window_precision,window_precision,window_precision,window_recall,window_recall,window_recall,window_specificity,window_specificity,window_specificity,window_f1,window_f1,window_f1,window_auroc,window_auroc,window_auroc,window_tn,window_tn,window_tn,window_fp,window_fp,window_fp,window_fn,window_fn,window_fn,window_tp,window_tp,window_tp,window_loss,window_loss,window_loss,video_accuracy,video_accuracy,video_accuracy,video_precision,video_precision,video_precision,video_recall,video_recall,video_recall,video_specificity,video_specificity,video_specificity,video_f1,video_f1,video_f1,video_auroc,video_auroc,video_auroc,video_tn,video_tn,video_tn,video_fp,video_fp,video_fp,video_fn,video_fn,video_fn,video_tp,video_tp,video_tp,event_recall,event_recall,event_recall,detected_events,detected_events,detected_events,total_events,total_events,total_events,false_alarms,false_alarms,false_alarms,false_alarms_per_hour,false_alarms_per_hour,false_alarms_per_hour,mean_detection_delay_seconds,mean_detection_delay_seconds,mean_detection_delay_seconds
,,,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
model,condition,severity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
masked_bimamba,random_joint_drop,0.1,0.10000000000000002,0.0,12,0.607931488801054,0.19795589212452624,12,0.22888553296509137,0.11146317639567149,12,0.786123567513702,0.14067214293934918,12,0.5868546676096181,0.23256572503894457,12,0.3334247840169486,0.11060604670669834,12,0.7845636211202799,0.09437411872000102,12,6638.5,2630.7834816405407,12,4673.5,2630.7834816405407,12,286.1666666666667,188.2193272528492,12,1051.8333333333333,188.2193272528492,12,0.355553791634039,0.38064297722963186,12,0.6912280701754386,0.01334004699606154,12,0.6914355377479445,0.01288238982500378,12,0.9923076923076923,0.0157303802506322,12,0.038888888888888876,0.06865715340592496,12,0.814793673136477,0.005479468880571648,12,0.6892948717948718,0.13615202984754213,12,2.3333333333333335,4.119429204355498,12,57.666666666666664,4.119429204355497,12,1.0,2.04494943258218,12,129.0,2.0449494325821815,12,0.983974358974359,0.03238059263311916,12,127.91666666666667,4.209477042305489,12,130.0,0.0,12,301.4166666666667,99.32907505617452,12,394.9264812927643,130.14436970528027,12,-2.0169493974687893,2.242204077354342,12
masked_bimamba,random_joint_drop,0.2,0.20000000000000004,0.0,12,0.5444071146245059,0.23680375389998495,12,0.22348127152774752,0.13410570080859993,12,0.8086696562032886,0.17310998808000783,12,0.5131497524752475,0.2809916764952416,12,0.3138429512783751,0.11249714743834516,12,0.7726125826668189,0.10454834225503941,12,5804.75,3178.5778445141727,12,5507.25,3178.5778445141727,12,256.0,231.62116405105047,12,1082.0,231.62116405105047,12,0.35389924370967174,0.35433696791404357,12,0.6907894736842105,0.0154060298823655,12,0.6925140343558103,0.01815234560186484,12,0.9891025641025641,0.03774982529316784,12,0.04444444444444443,0.10282213075204467,12,0.81395052606255,0.008951358908612404,12,0.6521367521367522,0.12628030992058797,12,2.6666666666666665,6.16932784512268,12,57.333333333333336,6.16932784512268,12,1.4166666666666667,4.907477288111819,12,128.58333333333334,4.907477288111819,12,0.9801282051282052,0.0640617585740606,12,127.41666666666667,8.32802861462787,12,130.0,0.0,12,243.25,140.50307340540147,12,318.71451448536885,184.09195816692568,12,-3.1609205696956093,2.8144976244634123,12
masked_bimamba,random_joint_drop,0.3,0.3,0.0,12,0.4555006587615283,0.2311522061761983,12,0.18309658964954423,0.09762727270725445,12,0.8709516691579472,0.14102636295602025,12,0.4063605021216407,0.2725855670340812,12,0.2824536230916261,0.09555113743565805,12,0.7696036847739066,0.09280937158487804,12,4596.75,3083.4879342895265,12,6715.25,3083.4879342895265,12,172.66666666666666,188.6932736351551,12,1165.3333333333333,188.6932736351551,12,0.3940469745758612,0.3313887279138853,12,0.6877192982456141,0.009343424890511477,12,0.6876654524548104,0.009899654229486353,12,0.9967948717948718,0.011102889792108156,12,0.01805555555555555,0.052923774675715685,12,0.8137482069954762,0.0030866608672067905,12,0.6291880341880342,0.12959320053601134,12,1.0833333333333333,3.1754264805429413,12,58.916666666666664,3.175426480542943,12,0.4166666666666667,1.443375672974064,12,129.58333333333334,1.4433756729740643,12,0.9935897435897436,0.02220577958421631,12,129.16666666666666,2.8867513459481278,12,130.0,0.0,12,204.75,135.2493488473655,12,268.2704906099867,177.20834759445168,12,-4.308771367521366,2.9044920637115,12
tcnte,clean,0.0,0.0,0.0,12,0.8416864295125165,0.03333785038444798,12,0.3817613924571391,0.06721977456390496,12,0.7206651718983558,0.06634873876253573,12,0.8560010018859029,0.038819033834190955,12,0.4950290786730671,0.05681791572253494,12,0.8568344064647496,0.02737255637530055,12,9683.083333333334,439.12091073236803,12,1628.9166666666667,439.1209107323679,12,373.75,88.77461246427279,12,964.25,88.77461246427278,12,0.09555338420386132,0.030468092143543467,12,0.7258771929824562,0.03501687425248245,12,0.720937110396528,0.027492223408028673,12,0.9807692307692308,0.01410786084044209,12,0.17361111111111108,0.11020145311818838,12,0.8307092435552805,0.018686140029838844,12,0.8127991452991453,0.06209431923054219,12,10.416666666666666,6.612087187091302,12,49.583333333333336,6.612087187091301,12,2.5,1.834021909257456,12,127.5,1.8340219092574557,12,0.9698717948717949,0.017497662437696522,12,126.08333333333333,2.2746961169005475,12,130.0,0.0,12,223.66666666666666,55.01955575203707,12,293.05575775221996,72.08851386931624,12,0.12351272955005854,0.1527064318913331,12
tcnte,confidence_noise,0.1,0.10000000000000002,0.0,12,0.8338142292490119,0.039541917258942134,12,0.37081002694700915,0.06988012977508615,12,0.7229073243647234,0.07042962422850751,12,0.8469324611032532,0.0478301904154656,12,0.4849427499674881,0.05736465105383826,12,0.8547164078395347,0.0257277424637682,12,9580.5,541.0551139797464,12,1731.5,541.0551139797464,12,370.75,94.23483721774313,12,967.25,94.2348372177431,12,0.09770583488832425,0.03089526032127311,12,0.7206140350877193,0.03572879272704614,12,0.7166556083776053,0.02732196265527031,12,0.9814102564102565,0.016871610657839112,12,0.15555555555555553,0.10994335854221522,12,0.8280869317121895,0.019288697048773226,12,0.8138782051282051,0.058812185172279575,12,9.333333333333334,6.596601512532913,12,50.666666666666664,6.596601512532914,12,2.4166666666666665,2.1933093855190746,12,127.58333333333333,2.1933093855190733,12,0.9698717948717949,0.0192540651438905,12,126.08333333333333,2.503028468705763,12,130.0,0.0,12,240.66666666666666,63.260404582003645,12,315.32974232057046,82.88595737924479,12,0.09575019646295763,0.18661462303958334,12
tcnte,confidence_noise,0.2,0.20000000000000004,0.0,12,0.8128787878787879,0.05714772829937489,12,0.3455449874305862,0.07826891591382706,12,0.7265196811160938,0.07481614271404602,12,0.8230934700612919,0.0694126147238712,12,0.4607826759473892,0.06508249674271623,12,0.8495809717703032,0.02432954759374441,12,9310.833333333334,785.1954977564313,12,2001.1666666666667,785.1954977564311,12,365.9166666666667,100.10399895139356,12,972.0833333333334,100.10399895139358,12,0.10277895763013335,0.034166998132455016,12,0.7188596491228071,0.030644740865297757,12,0.7149701525406433,0.025393625760531773,12,0.9826923076923078,0.01644100411959276,12,0.1472222222222222,0.10936763443212741,12,0.8273560475890457,0.015583358748896612,12,0.8148290598290598,0.055166608116205176,12,8.833333333333334,6.562058065927645,12,51.166666666666664,6.562058065927644,12,2.25,2.1373305355470453,12,127.75,2.1373305355470413,12,0.9737179487179487,0.018686949456005734,12,126.58333333333333,2.4293034292807385,12,130.0,0.0,12,270.3333333333333,76.09603183219254,12,354.20002911631946,99.70363757311583,12,0.06166101796260392,0.24900195099190936,12
tcnte,confidence_noise,0.3,0.3,0.0,12,0.7893544137022398,0.07578096927212845,12,0.321245446937868,0.08074682535703726,12,0.7308794220229199,0.08202083877116817,12,0.7962709217350307,0.09195455889906404,12,0.43690394501522284,0.06933032892149024,12,0.8412093183713791,0.024133337766258076,12,9007.416666666666,1040.1899702662129,12,2304.5833333333335,1040.1899702662126,12,360.0833333333333,109.74388227582303,12,977.9166666666666,109.74388227582298,12,0.11341245435691179,0.04407033983812926,12,0.712280701754386,0.02876920670195916,12,0.7098471469955182,0.024581894062899685,12,0.9833333333333334,0.019078652451879247,12,0.12499999999999999,0.11043989178267831,12,0.8240912206527152,0.01423118726923036,12,0.8141132478632479,0.05337899410195219,12,7.5,6.6263935069606985,12,52.5,6.6263935069606985,12,2.1666666666666665,2.4802248187442912,12,127.83333333333333,2.480224818744293,12,0.9756410256410257,0.023154492784998305,12,126.83333333333333,3.010084062049771,12,130.0,0.0,12,290.9166666666667,74.00056306092092,12,381.16902023584197,96.95808233342375,12,-0.010179448567456123,0.3103314500282952,12
tcnte,frame_drop,0.1,0.10000000000000002,0.0,12,0.7380368906455863,0.048705390682106026,12,0.2630376559761469,0.04011838925822968,12,0.7816392625809666,0.06144755116934297,12,0.7328795379537953,0.05830245425722824,12,0.3910942616053094,0.041207357061322156,12,0.8404696341270897,0.024723009428862405,12,8290.333333333334,659.5173625577659,12,3021.6666666666665,659.5173625577659,12,292.1666666666667,82.2168234645809,12,1045.8333333333333,82.21682346458091,12,0.13336980924800487,0.04550763930848261,12,0.6899122807017544,0.011543733607995136,12,0.6895682740085308,0.008253886064135952,12,0.9948717948717949,0.006827887419989139,12,0.029166666666666643,0.03835309108741556,12,0.8145133019221946,0.0058293593233652964,12,0.8050961538461539,0.06240261374541356,12,1.75,2.3011854652449344,12,58.25,2.3011854652449366,12,0.6666666666666666,0.8876253645985945,12,129.33333333333334,0.8876253645985975,12,0.9865384615384616,0.016110497948962715,12,128.25,2.0943647333651416,12,130.0,0.0,12,370.8333333333333,66.72580710140069,12,485.8785849468624,87.42644692278436,12,-0.4582032101191864,0.3448186138848148,12
tcnte,frame_drop,0.2,0.20000000000000004,0.0,12,0.6235704874835309,0.07351339597453789,12,0.20137915412826804,0.02967928025436081,12,0.8290981564524166,0.05601741204656591,12,0.599260372465818,0.08718156983132606,12,0.322269598125652,0.03505980449538251,12,0.8217405183123213,0.02234198895383105,12,6778.833333333333,986.1979179319604,12,4533.166666666667,986.1979179319602,12,228.66666666666666,74.95129731830512,12,1109.3333333333333,74.95129731830517,12,0.18838897637433918,0.07384592737693502,12,0.6846491228070176,0.005703287733951734,12,0.6853524667766154,0.004217674421508373,12,0.9967948717948718,0.0039609896195724895,12,0.008333333333333325,0.020719385350268682,12,0.8122300028026532,0.002787535173073491,12,0.7903418803418804,0.06937432955538485,12,0.5,1.243163121016122,12,59.5,1.2431631210161214,12,0.4166666666666667,0.5149286505444373,12,129.58333333333334,0.5149286505444394,12,0.9923076923076923,0.009840033062566573,12,129.0,1.2792042981336658,12,130.0,0.0,12,352.0833333333333,42.96607188623754,12,461.3116902023582,56.2956248327468,12,-1.4217506970177756,0.6832551614179944,12
tcnte,frame_drop,0.3,0.3,0.0,12,0.5228392621870882,0.08614181741241934,12,0.1669517581637218,0.021254598623519607,12,0.8547583457897359,0.056722767653567346,12,0.4835793847241867,0.10195778334787174,12,0.2782006952547898,0.02717250114253373,12,0.7996496108211076,0.0249341254067569,12,5470.25,1153.346445231125,12,5841.75,1153.346445231125,12,194.33333333333334,75.89506312047315,12,1143.6666666666667,75.89506312047315,12,0.24390467278345218,0.10419947896149728,12,0.6846491228070176,0.002710150792339152,12,0.6846746495869303,0.0015497194110337834,12,0.9993589743589744,0.0022205779584215965,12,0.0027777777777777666,0.006487491201345999,12,0.8126142894461861,0.0015572536432773589,12,0.7787606837606837,0.0679309325655624,12,0.16666666666666666,0.3892494720807615,12,59.833333333333336,0.3892494720807613,12,0.08333333333333333,0.28867513459481287,12,129.91666666666666,0.28867513459481414,12,0.9955128205128205,0.007663114768427853,12,129.41666666666666,0.9962049198956183,12,130.0,0.0,12,278.5833333333333,57.20848368957707,12,365.0094628039014,74.95652252237493,12,-2.4514189573854708,1.0554711525068996,12
