model,fold,seed,condition,severity,window_accuracy,window_precision,window_recall,window_specificity,window_f1,window_auroc,window_tn,window_fp,window_fn,window_tp,window_loss,video_accuracy,video_precision,video_recall,video_specificity,video_f1,video_auroc,video_tn,video_fp,video_fn,video_tp,event_recall,detected_events,total_events,false_alarms,false_alarms_per_hour,mean_detection_delay_seconds
masked_bimamba,fold_1,seed_2026,lower_body_missing,1.0,0.7111462450592886,0.1293213828425096,0.3019431988041853,0.7595473833097596,0.1810847153742716,0.6339192225196255,8592,2720,934,404,0.1899207924064911,0.5947368421052631,0.673202614379085,0.7923076923076923,0.1666666666666666,0.7279151943462897,0.4173076923076922,10,50,27,103,0.6307692307692307,82,130,219,286.94133061581,-0.375609756097561
masked_bimamba,fold_1,seed_3407,clean,0.0,0.8515415019762845,0.3767123287671233,0.6165919282511211,0.8793316831683168,0.467687074829932,0.8074359305725576,9947,1365,513,825,0.0908525825023886,0.7210526315789474,0.7251461988304093,0.953846153846154,0.2166666666666666,0.823920265780731,0.7312820512820513,13,47,6,124,0.8769230769230769,114,130,209,273.8389867520744,0.2000000000000001
masked_bimamba,fold_1,seed_3407,random_joint_drop,0.1,0.4820553359683794,0.15543219666931,0.8789237668161435,0.4351131541725601,0.2641509433962264,0.7750343960565178,4922,6390,162,1176,0.1964439319009366,0.6842105263157895,0.6842105263157895,1.0,0.0,0.8125000000000001,0.6256410256410256,0,60,0,130,1.0,130,130,283,370.796331343718,-2.981538461538461
masked_bimamba,fold_1,seed_3407,random_joint_drop,0.2,0.3429249011857707,0.130614406779661,0.92152466367713,0.274487270155587,0.2287994061978103,0.743500559216716,3105,8207,105,1233,0.2349795909196491,0.6842105263157895,0.6842105263157895,1.0,0.0,0.8125000000000001,0.5887179487179488,0,60,0,130,1.0,130,130,145,189.98398602416643,-5.866153846153849
masked_bimamba,fold_1,seed_3407,random_joint_drop,0.3,0.2973122529644268,0.1243657347527609,0.9342301943198804,0.2219766619519095,0.219510053560453,0.7425670888277169,2511,8801,88,1250,0.2304082768189577,0.6842105263157895,0.6842105263157895,1.0,0.0,0.8125000000000001,0.6002564102564103,0,60,0,130,1.0,130,130,90,117.92109477362054,-6.4738461538461545
masked_bimamba,fold_1,seed_3407,frame_drop,0.1,0.8512252964426877,0.3779174147217235,0.6292974588938715,0.8774752475247525,0.4722378014582165,0.8153252534974831,9926,1386,496,842,0.0765057686018378,0.7368421052631579,0.7352941176470589,0.9615384615384616,0.25,0.8333333333333333,0.7492307692307691,15,45,5,125,0.9153846153846154,119,130,207,271.21851797932726,0.2537815126050419
masked_bimamba,fold_1,seed_3407,frame_drop,0.2,0.8453754940711462,0.3669250645994832,0.6367713004484304,0.870049504950495,0.4655737704918033,0.820251765126865,9842,1470,486,852,0.0672162515260721,0.7421052631578947,0.7341040462427746,0.9769230769230768,0.2333333333333333,0.8382838283828384,0.7698717948717949,14,46,3,127,0.9153846153846154,119,130,224,293.4925025476778,0.173109243697479
masked_bimamba,fold_1,seed_3407,frame_drop,0.3,0.8352569169960474,0.3504410585404972,0.6532137518684604,0.8567892503536068,0.4561586638830898,0.819020418017138,9692,1620,464,874,0.0627656768898483,0.7315789473684211,0.7206703910614525,0.9923076923076924,0.1666666666666666,0.8349514563106796,0.7998717948717948,10,50,1,129,0.9384615384615383,122,130,241,315.7664871160283,0.0245901639344263
masked_bimamba,fold_1,seed_3407,confidence_noise,0.1,0.8411857707509881,0.3571732652192422,0.6270553064275037,0.8665134370579916,0.4551125576349335,0.8073290953374646,9802,1510,499,839,0.0910397655060404,0.7105263157894737,0.711864406779661,0.9692307692307692,0.15,0.8208469055374592,0.7353846153846155,9,51,4,126,0.9076923076923076,118,130,228,298.733440093172,0.1542372881355932
masked_bimamba,fold_1,seed_3407,confidence_noise,0.2,0.8306719367588933,0.3413575374901342,0.6464872944693573,0.85245756718529,0.4467975206611571,0.8054299454208713,9643,1669,473,865,0.0909263192818098,0.6894736842105263,0.6939890710382514,0.9769230769230768,0.0666666666666666,0.8115015974440893,0.7380769230769231,4,56,3,127,0.9230769230769232,120,130,251,328.868830979764,0.1066666666666667
masked_bimamba,fold_1,seed_3407,confidence_noise,0.3,0.8171541501976285,0.322533673097925,0.6621823617339312,0.835484441301273,0.4337821297429621,0.8028611427366311,9451,1861,452,886,0.091186058348111,0.6842105263157895,0.6881720430107527,0.9846153846153848,0.0333333333333333,0.8101265822784811,0.7442307692307693,2,58,2,128,0.9307692307692308,121,130,286,374.7270345028386,0.0297520661157025
masked_bimamba,fold_1,seed_3407,lower_body_missing,1.0,0.1701185770750988,0.1117986099338871,0.985799701046338,0.0736386138613861,0.2008221680876979,0.7411340959928792,833,10479,19,1319,0.4426434489436771,0.6842105263157895,0.6842105263157895,1.0,0.0,0.8125000000000001,0.5011538461538462,0,60,0,130,1.0,130,130,63,82.54476634153438,-7.275384615384615
masked_bimamba,fold_1,seed_42,clean,0.0,0.8028458498023715,0.3017832647462277,0.6576980568011959,0.82001414427157,0.4137282557592853,0.7888012756272423,9276,2036,458,880,0.4594564956556196,0.7210526315789474,0.7175141242937854,0.9769230769230768,0.1666666666666666,0.8273615635179152,0.6778205128205128,10,50,3,127,0.9230769230769232,120,130,249,326.24836220701684,0.0450000000000001
masked_bimamba,fold_1,seed_42,random_joint_drop,0.1,0.2869565217391304,0.1223948092803775,0.9304932735426008,0.2108380480905233,0.2163336229365768,0.6661232406872974,2385,8927,93,1245,1.3563478566346905,0.6842105263157895,0.6842105263157895,1.0,0.0,0.8125000000000001,0.5373076923076923,0,60,0,130,1.0,130,130,105,137.57461056922398,-6.201538461538461
masked_bimamba,fold_1,seed_42,random_joint_drop,0.2,0.243794466403162,0.1180839212773858,0.9506726457399104,0.1601838755304102,0.2100743187448389,0.6067001218859874,1812,9500,66,1272,1.3217899029622435,0.6842105263157895,0.6842105263157895,1.0,0.0,0.8125000000000001,0.4519230769230769,0,60,0,130,1.0,130,130,78,102.1982821371378,-6.704615384615384
masked_bimamba,fold_1,seed_42,random_joint_drop,0.3,0.2244268774703557,0.116154752197155,0.9581464872944694,0.1376414427157001,0.2071919191919191,0.6242437624608073,1557,9755,56,1282,1.226565361004102,0.6842105263157895,0.6842105263157895,1.0,0.0,0.8125000000000001,0.4164102564102563,0,60,0,130,1.0,130,130,68,89.09593827340218,-7.055384615384612
masked_bimamba,fold_1,seed_42,frame_drop,0.1,0.798498023715415,0.2959218065385912,0.656203288490284,0.8153288543140028,0.407897793263647,0.7928542423829187,9223,2089,460,878,0.4062934774898081,0.7105263157894737,0.7071823204419889,0.9846153846153848,0.1166666666666666,0.8231511254019293,0.694102564102564,7,53,2,128,0.9384615384615383,122,130,265,347.21211238899383,0.0229508196721312
masked_bimamba,fold_1,seed_42,frame_drop,0.2,0.7974703557312253,0.2946308724832214,0.656203288490284,0.8141796322489392,0.4066697545159796,0.7943215916322574,9210,2102,460,878,0.350210274500338,0.7157894736842105,0.7111111111111111,0.9846153846153848,0.1333333333333333,0.8258064516129032,0.717051282051282,8,52,2,128,0.9384615384615383,122,130,267,349.83258116174096,-0.0327868852459015
masked_bimamba,fold_1,seed_42,frame_drop,0.3,0.7930434782608695,0.2897503285151117,0.6591928251121076,0.8088755304101839,0.402555910543131,0.791584640727045,9150,2162,456,882,0.2947449268430118,0.7052631578947368,0.7055555555555556,0.9769230769230768,0.1166666666666666,0.8193548387096774,0.7420512820512822,7,53,3,127,0.9230769230769232,120,130,284,372.10656573009146,-0.0716666666666665
masked_bimamba,fold_1,seed_42,confidence_noise,0.1,0.7840316205533597,0.2828660436137071,0.6786248131539612,0.7964992927864215,0.3992963940193491,0.7836289834941215,9010,2302,430,908,0.4758293794693329,0.6947368421052632,0.6956521739130435,0.9846153846153848,0.0666666666666666,0.8152866242038216,0.6716666666666666,4,56,2,128,0.9384615384615383,122,130,282,369.4860969573444,-0.0770491803278687
masked_bimamba,fold_1,seed_42,confidence_noise,0.2,0.7539920948616601,0.2567196928140428,0.6995515695067265,0.7604314002828855,0.3756019261637239,0.7778402249658022,8602,2710,402,936,0.4957835967314573,0.7,0.6972972972972973,0.9923076923076924,0.0666666666666666,0.8190476190476191,0.6701282051282053,4,56,1,129,0.9692307692307692,126,130,324,424.515941185034,-0.2301587301587301
masked_bimamba,fold_1,seed_42,confidence_noise,0.3,0.7237154150197629,0.2368870456208831,0.7257100149476831,0.7234794908062234,0.3571822696339893,0.7714625842789276,8184,3128,367,971,0.5186944719359808,0.6894736842105263,0.6898395721925134,0.9923076923076924,0.0333333333333333,0.8138801261829653,0.6673076923076923,2,58,1,129,0.9692307692307692,126,130,365,478.23555102635,-0.4761904761904761
masked_bimamba,fold_1,seed_42,lower_body_missing,1.0,0.5727272727272728,0.1760395093197387,0.8258594917787743,0.5427864214992928,0.2902166776099803,0.7300342652378626,6140,5172,233,1105,0.3364311489368616,0.7052631578947368,0.6989247311827957,1.0,0.0666666666666666,0.8227848101265823,0.4926923076923077,4,56,0,130,1.0,130,130,284,372.10656573009146,-1.1261538461538465
masked_bimamba,fold_2,seed_2026,clean,0.0,0.8460079051383399,0.3754084967320261,0.6868460388639761,0.8648338048090524,0.485472794506075,0.8558642699631911,9783,1529,419,919,0.0856562795946485,0.7473684210526316,0.7469879518072289,0.953846153846154,0.3,0.8378378378378377,0.7947435897435897,18,42,6,124,0.946153846153846,123,130,178,233.221720774494,0.1999999999999999
masked_bimamba,fold_2,seed_2026,random_joint_drop,0.1,0.607905138339921,0.2028224483098129,0.9237668161434978,0.5705445544554455,0.3326157158234661,0.891330330582706,6454,4858,102,1236,0.1306565710195439,0.6842105263157895,0.6842105263157895,1.0,0.0,0.8125000000000001,0.8515384615384616,0,60,0,130,1.0,130,130,339,444.1694569806374,-1.5215384615384615
