run,variant,model,fold,seed,window_accuracy,window_precision,window_recall,window_specificity,window_f1,window_auroc,window_tn,window_fp,window_fn,window_tp,window_loss,video_accuracy,video_precision,video_recall,video_specificity,video_f1,video_auroc,video_tn,video_fp,video_fn,video_tp,event_event_recall,event_detected_events,event_total_events,event_false_alarms,event_false_alarms_per_hour,event_mean_detection_delay_seconds,best_epoch
mask_ratio_005/masked_bimamba/fold_3/seed_3407,mask_ratio_005,masked_bimamba,fold_3,seed_3407,0.8879568603954464,0.5760517799352751,0.7606837606837606,0.9087108013937282,0.6556169429097606,0.8702194824146045,1304,131,56,178,0.29883175893380187,0.7543859649122807,0.6666666666666666,0.9629629629629629,0.5666666666666667,0.7878787878787878,0.8567901234567902,17,13,1,26,0.9259259259259259,25,27,18,166.15384615384616,0.11199999999999999,41
mask_ratio_005/masked_bimamba/fold_3/seed_42,mask_ratio_005,masked_bimamba,fold_3,seed_42,0.8585979628520072,0.4972067039106145,0.7606837606837606,0.8745644599303136,0.6013513513513513,0.843277048155097,1255,180,56,178,0.14762750871193808,0.6842105263157895,0.6046511627906976,0.9629629629629629,0.43333333333333335,0.7428571428571429,0.8629629629629629,13,17,1,26,0.8888888888888888,24,27,25,230.76923076923077,0.0,25
mask_ratio_010/masked_bimamba/fold_0/seed_2026,mask_ratio_010,masked_bimamba,fold_0,seed_2026,0.8551682692307693,0.6753623188405797,0.643646408839779,0.9139784946236559,0.659123055162659,0.8514949376649609,1190,112,129,233,0.39561923988171305,0.6774193548387096,0.6222222222222222,0.9032258064516129,0.45161290322580644,0.7368421052631579,0.8428720083246617,14,17,3,28,0.9032258064516129,28,31,23,211.65644171779135,0.48571428571428565,39
mask_ratio_010/masked_bimamba/fold_0/seed_3407,mask_ratio_010,masked_bimamba,fold_0,seed_3407,0.8503605769230769,0.649867374005305,0.6767955801104972,0.8986175115207373,0.6630581867388363,0.8503895409527203,1170,132,117,245,0.6806697217795352,0.7419354838709677,0.6666666666666666,0.967741935483871,0.5161290322580645,0.7894736842105263,0.9209157127991676,16,15,1,30,0.967741935483871,30,31,22,202.45398773006127,0.24666666666666667,83
mask_ratio_010/masked_bimamba/fold_0/seed_42,mask_ratio_010,masked_bimamba,fold_0,seed_42,0.8485576923076923,0.6328502415458938,0.7237569060773481,0.8832565284178188,0.6752577319587629,0.8843396474611944,1150,152,100,262,0.2023857833656411,0.7096774193548387,0.6382978723404256,0.967741935483871,0.45161290322580644,0.7692307692307693,0.9001040582726326,14,17,1,30,0.967741935483871,30,31,25,230.06134969325146,0.4133333333333333,35
mask_ratio_010/masked_bimamba/fold_1/seed_2026,mask_ratio_010,masked_bimamba,fold_1,seed_2026,0.843409688321442,0.5373134328358209,0.5575221238938053,0.9018543645409317,0.5472312703583062,0.7911718559255213,1994,217,200,252,0.376488620520248,0.6923076923076923,0.6363636363636364,0.8974358974358975,0.48717948717948717,0.7446808510638298,0.8040762656147271,19,20,4,35,0.8717948717948718,34,39,28,165.35433070866148,0.40588235294117636,28
mask_ratio_010/masked_bimamba/fold_1/seed_3407,mask_ratio_010,masked_bimamba,fold_1,seed_3407,0.8437852046564025,0.5342205323193916,0.6216814159292036,0.8891904115784712,0.574642126789366,0.8180267207806503,1966,245,171,281,0.2345178723503135,0.6794871794871795,0.6296296296296297,0.8717948717948718,0.48717948717948717,0.7311827956989246,0.8330046022353714,19,20,5,34,0.8717948717948718,34,39,27,159.44881889763784,0.34117647058823514,22
mask_ratio_010/masked_bimamba/fold_1/seed_42,mask_ratio_010,masked_bimamba,fold_1,seed_42,0.843409688321442,0.5352112676056338,0.588495575221239,0.8955223880597015,0.5605900948366702,0.8172092073822361,1980,231,186,266,0.36197578814824943,0.7051282051282052,0.6333333333333333,0.9743589743589743,0.4358974358974359,0.7676767676767675,0.8560157790927021,17,22,1,38,0.9743589743589743,38,39,34,200.78740157480323,0.3894736842105262,39
mask_ratio_010/masked_bimamba/fold_2/seed_2026,mask_ratio_010,masked_bimamba,fold_2,seed_2026,0.8852108916177256,0.652542372881356,0.7151702786377709,0.9206451612903226,0.6824224519940916,0.9375511834615,1427,123,92,231,0.053218461835664414,0.8095238095238095,0.7317073170731707,0.967741935483871,0.65625,0.8333333333333334,0.9465725806451613,21,11,1,30,0.967741935483871,30,31,17,140.1740723774622,0.4266666666666667,22
mask_ratio_010/masked_bimamba/fold_2/seed_3407,mask_ratio_010,masked_bimamba,fold_2,seed_3407,0.8857447944474106,0.6365914786967418,0.7863777089783281,0.9064516129032258,0.703601108033241,0.9042404873664236,1405,145,69,254,0.07745544851080848,0.7142857142857143,0.6382978723404256,0.967741935483871,0.46875,0.7692307692307693,0.9506048387096774,15,17,1,30,0.967741935483871,30,31,36,296.83921209344936,0.08666666666666666,31
mask_ratio_010/masked_bimamba/fold_2/seed_42,mask_ratio_010,masked_bimamba,fold_2,seed_42,0.8852108916177256,0.6370558375634517,0.7770897832817337,0.9077419354838709,0.7001394700139469,0.921805652651553,1407,143,72,251,0.050999767996780514,0.6984126984126984,0.62,1.0,0.40625,0.7654320987654321,0.9506048387096774,13,19,0,31,1.0,31,31,31,255.61154374713698,0.07096774193548387,25
mask_ratio_010/masked_bimamba/fold_3/seed_2026,mask_ratio_010,masked_bimamba,fold_3,seed_2026,0.8669862192929898,0.5205479452054794,0.6495726495726496,0.9024390243902439,0.5779467680608366,0.8592066470115252,1295,140,82,152,0.6456525591915332,0.7017543859649122,0.631578947368421,0.8888888888888888,0.5333333333333333,0.7384615384615385,0.8185185185185185,16,14,3,24,0.8518518518518519,23,27,19,175.3846153846154,0.21739130434782608,92
