run,model,fold,seed,window_accuracy,window_precision,window_recall,window_specificity,window_f1,window_auroc,window_tn,window_fp,window_fn,window_tp,window_loss,video_accuracy,video_precision,video_recall,video_specificity,video_f1,video_auroc,video_tn,video_fp,video_fn,video_tp,event_event_recall,event_detected_events,event_total_events,event_false_alarms,event_false_alarms_per_hour,event_mean_detection_delay_seconds,best_epoch
tcn/fold_1/seed_3407,tcn,fold_1,seed_3407,0.8047315058205032,0.4472049689440994,0.6371681415929203,0.8389868837630031,0.5255474452554744,0.7967783768206433,1855,356,164,288,0.13816333454979393,0.6282051282051282,0.5806451612903226,0.9230769230769231,0.3333333333333333,0.7128712871287128,0.8724523339907955,13,26,3,36,0.9230769230769231,36,39,44,259.84251968503946,0.2444444444444444,96
tcn/fold_1/seed_42,tcn,fold_1,seed_42,0.8058580548253849,0.45350500715307585,0.7013274336283186,0.8272274988692899,0.5508253692441356,0.8069877883310719,1829,382,135,317,0.1302189529837409,0.6025641025641025,0.5588235294117647,0.9743589743589743,0.23076923076923078,0.7102803738317757,0.8336620644312952,9,30,1,38,0.9743589743589743,38,39,52,307.08661417322844,0.0736842105263158,88
tcn/fold_2/seed_2026,tcn,fold_2,seed_2026,0.8969567538707955,0.6666666666666666,0.804953560371517,0.9161290322580645,0.729312762973352,0.9361510036951962,1420,130,63,260,0.03992645108542274,0.7142857142857143,0.6326530612244898,1.0,0.4375,0.775,0.9889112903225806,14,18,0,31,1.0,31,31,33,272.1026110856619,0.11612903225806454,86
tcn/fold_2/seed_3407,tcn,fold_2,seed_3407,0.8809396689802456,0.6275510204081632,0.7616099071207431,0.9058064516129032,0.6881118881118881,0.9287426345750525,1404,146,77,246,0.04543609986577961,0.7142857142857143,0.6326530612244898,1.0,0.4375,0.775,0.9566532258064516,14,18,0,31,1.0,31,31,28,230.87494273934954,0.23225806451612901,32
tcn/fold_2/seed_42,tcn,fold_2,seed_42,0.8798718633208756,0.6611842105263158,0.6222910216718266,0.9335483870967742,0.6411483253588517,0.8902446819135124,1447,103,122,201,0.05918714577641419,0.6984126984126984,0.6304347826086957,0.9354838709677419,0.46875,0.7532467532467533,0.9294354838709676,15,17,2,29,0.9354838709677419,29,31,27,222.62940907008704,0.2896551724137932,55
tcn/fold_3/seed_2026,tcn,fold_3,seed_2026,0.8280407429598562,0.416403785488959,0.5641025641025641,0.8710801393728222,0.47912885662431937,0.8501682599243575,1250,185,102,132,0.08951827185563274,0.7192982456140351,0.6410256410256411,0.9259259259259259,0.5333333333333333,0.7575757575757577,0.8061728395061729,16,14,2,25,0.9259259259259259,25,27,19,175.3846153846154,0.272,91
tcn/fold_3/seed_3407,tcn,fold_3,seed_3407,0.8376273217495507,0.44931506849315067,0.7008547008547008,0.8599303135888502,0.5475792988313857,0.8296554394115371,1234,201,70,164,0.11617583950614326,0.6666666666666666,0.5909090909090909,0.9629629629629629,0.4,0.732394366197183,0.8209876543209876,12,18,1,26,0.9629629629629629,26,27,26,240.0,0.05384615384615384,96
tcn/fold_3/seed_42,tcn,fold_3,seed_42,0.8562013181545836,0.49079754601226994,0.6837606837606838,0.8843205574912892,0.5714285714285714,0.8526876917120819,1269,166,74,160,0.13745479633414492,0.7017543859649122,0.625,0.9259259259259259,0.5,0.7462686567164178,0.8296296296296296,15,15,2,25,0.8888888888888888,24,27,20,184.6153846153846,0.1166666666666667,65
tcnte/fold_0/seed_2026,tcnte,fold_0,seed_2026,0.859375,0.753968253968254,0.5248618784530387,0.9523809523809523,0.6188925081433224,0.849863363630963,1240,62,172,190,0.13007917538141975,0.7903225806451613,0.7368421052631579,0.9032258064516129,0.6774193548387096,0.8115942028985507,0.8980228928199792,21,10,3,28,0.9032258064516129,28,31,16,147.23926380368093,0.6642857142857144,42
tcnte/fold_0/seed_3407,tcnte,fold_0,seed_3407,0.8341346153846154,0.6080402010050251,0.6685082872928176,0.880184331797235,0.6368421052631579,0.8427005626702652,1146,156,120,242,0.18924549007295774,0.6612903225806451,0.5961538461538461,1.0,0.3225806451612903,0.7469879518072289,0.8761706555671176,10,21,0,31,1.0,31,31,29,266.8711656441717,0.5612903225806452,72
tcnte/fold_0/seed_42,tcnte,fold_0,seed_42,0.84375,0.6416666666666667,0.638121546961326,0.9009216589861752,0.6398891966759004,0.8401693951506819,1173,129,131,231,0.24770028784629317,0.7419354838709677,0.6666666666666666,0.967741935483871,0.5161290322580645,0.7894736842105263,0.8772112382934444,16,15,1,30,0.967741935483871,30,31,20,184.04907975460117,0.49333333333333323,100
